19;16;14;0,288178969
35;20;14;0,305399922
51;21;14;0,305239507
67;24;14;0,31796749
90;29;14;0,514385634
109;38;14;0,137738822
115;40;14;0,276697499
132;41;14;0,295588458
147;42;14;0,29513677
169;46;14;0,255087273
179;47;14;0,178547094
190;50;14;0,514615862
12;14;56;0,916267478
232;57;14;0,763097897
250;58;14;0,387561193
266;276;14;0,373953942
280;281;14;0,413829669
293;360;14;0,299244658
298;394;14;0,314235999
36;20;16;0,094951484
21;16;21;0,091712665
68;24;16;0,083617434
23;16;29;0,171505172
116;40;16;0,096491761
25;16;42;0,084504221
26;16;47;0,101823246
27;16;50;0,17272508
28;16;56;0,350404976
29;16;57;0,202716797
30;16;58;0,126366294
267;276;16;0,122639369
32;16;281;0,138758233
33;16;360;0,070235015
299;394;16;0,08145769
37;20;24;0,195459091
38;20;29;0,350758973
117;40;20;0,137131202
40;20;41;0,13140503
41;20;42;0,102654778
42;20;46;0,081778107
43;20;47;0,101127643
44;20;50;0,217874319
45;20;56;0,352659646
46;20;57;0,246677584
47;20;58;0,167249763
48;20;276;0,084841553
49;20;281;0,114155923
53;21;29;0,109986694
118;40;21;0,089903909
135;41;21;0,082274517
56;21;42;0,088588238
57;21;50;0,115728142
58;21;56;0,34685185
59;21;57;0,261950241
253;58;21;0,099922522
70;24;29;0,310814319
119;40;24;0,12517545
136;41;24;0,166725902
74;24;42;0,118523378
77;24;50;0,236881583
78;24;56;0,357806218
79;24;57;0,258665796
80;24;58;0,112985619
81;24;276;0,088585537
82;24;281;0,123655493
85;26;29;0,104844877
96;29;38;0,089187579
120;40;29;0,228527507
137;41;29;0,238728862
152;42;29;0,150615754
172;46;29;0,152638731
182;47;29;0,136447775
102;29;50;0,301523661
103;29;56;0,584317542
104;29;57;0,386234045
255;58;29;0,219089588
270;276;29;0,14190574
107;29;281;0,215486274
300;394;29;0,110964468
111;38;50;0,082205599
112;38;56;0,141491329
113;38;57;0,115658362
285;281;38;0,073641795
121;40;41;0,092798937
122;40;42;0,105005904
123;40;47;0,083970462
124;40;50;0,165607444
125;40;56;0,332412214
126;40;57;0,227786822
127;40;58;0,096248814
128;40;276;0,093829937
129;40;281;0,139172767
131;40;394;0,069497036
139;41;42;0,083607423
141;41;50;0,186707093
142;41;56;0,346081985
143;41;57;0,202521967
144;41;58;0,102918066
145;41;276;0,069888248
146;41;281;0,126668715
155;42;50;0,202909147
156;42;56;0,337832741
157;42;57;0,230201078
258;58;42;0,094008471
273;276;42;0,093700311
160;42;281;0,103965308
302;394;42;0,089082792
173;46;50;0,114892322
174;46;56;0,265566552
274;276;46;0,06863901
184;47;50;0,142517507
185;47;56;0,223706182
186;47;57;0,146042303
187;47;58;0,125276233
275;276;47;0,074240144
202;50;56;0,611462124
203;50;57;0,427829758
260;58;50;0,237132934
276;276;50;0,169246458
289;281;50;0,16697615
295;360;50;0,106817942
303;394;50;0,153745406
244;57;56;0,819468308
261;58;56;0,435842279
277;276;56;0,429737824
290;281;56;0,469063261
296;360;56;0,334165249
304;394;56;0,352340662
262;58;57;0,334877495
278;276;57;0,245778686
291;281;57;0,34426193
297;360;57;0,214724167
305;394;57;0,206950966
279;276;58;0,081207223
264;58;281;0,139209994
306;394;58;0,078721657
